strategy,threshold,tp,tn,fp,fn,misclass_rate,accuracy,sensitivity,specificity,ppv,npv,lr_plus,lr_minus
ensemble (top 5),0.047146328068295947,122,406,179,15,0.26869806094182824,0.7313019390581718,0.8905109489051095,0.694017094017094,0.4053156146179402,0.9643705463182898,2.910329078823961,0.15776131746431266
ensemble (top 5),0.04732430941475325,122,407,178,15,0.2673130193905817,0.7326869806094183,0.8905109489051095,0.6957264957264957,0.4066666666666667,0.9644549763033176,2.9266792421881407,0.1573736975196829
ensemble (top 5),0.04803164976503059,122,408,177,15,0.2659279778393352,0.7340720221606648,0.8905109489051095,0.6974358974358974,0.4080267558528428,0.9645390070921985,2.943214153160955,0.15698797767282094
ensemble (top 5),0.04808476422360564,122,409,176,15,0.26454293628808867,0.7354570637119113,0.8905109489051095,0.6991452991452991,0.40939597315436244,0.964622641509434,2.9599369608493693,0.15660414398657932
ensemble (top 5),0.0481437129153672,122,410,175,15,0.2631578947368421,0.736842105263158,0.8905109489051095,0.7008547008547008,0.4107744107744108,0.9647058823529412,2.976850886339937,0.15622218265978277
ensemble (top 5),0.048153190438783654,122,411,174,15,0.26177285318559557,0.7382271468144044,0.8905109489051095,0.7025641025641025,0.41216216216216217,0.9647887323943662,2.993959224767178,0.15584208002557406
ensemble (top 5),0.04830793479620403,122,412,173,15,0.26038781163434904,0.739612188365651,0.8905109489051095,0.7042735042735043,0.4135593220338983,0.9648711943793911,3.0112653474536946,0.1554638225497838
ensemble (top 5),0.049317298768744466,121,412,173,16,0.26177285318559557,0.7382271468144044,0.8832116788321168,0.7042735042735043,0.41156462585034015,0.9626168224299065,2.9865828446057137,0.16582807738643607
ensemble (top 5),0.0495379044897553,121,413,172,16,0.26038781163434904,0.739612188365651,0.8832116788321168,0.705982905982906,0.4129692832764505,0.9627039627039627,3.003946698353421,0.1654265566179459
ensemble (top 5),0.050376332702766466,121,414,171,16,0.2590027700831025,0.7409972299168974,0.8832116788321168,0.7076923076923077,0.4143835616438356,0.9627906976744186,3.021513638109874,0.16502697556331317
ensemble (top 5),0.05059662868009367,121,415,170,16,0.25761772853185594,0.7423822714681441,0.8832116788321168,0.7094017094017094,0.41580756013745707,0.962877030162413,3.039287247745814,0.16462932020051002
ensemble (top 5),0.050767474894160135,121,416,169,16,0.2562326869806094,0.7437673130193906,0.8832116788321168,0.7111111111111111,0.41724137931034483,0.9629629629629629,3.0572711959573278,0.1642335766423357
ensemble (top 5),0.05106333028812049,121,417,168,16,0.2548476454293629,0.7451523545706371,0.8832116788321168,0.7128205128205128,0.4186851211072664,0.9630484988452656,3.075469238790407,0.16383973113480013
ensemble (top 5),0.051296088866153756,121,418,167,16,0.25346260387811637,0.7465373961218836,0.8832116788321168,0.7145299145299145,0.4201388888888889,0.9631336405529954,3.0938852222562176,0.1634477700555303
ensemble (top 5),0.05199051343933868,121,419,166,16,0.2520775623268698,0.7479224376731302,0.8832116788321168,0.7162393162393162,0.42160278745644597,0.9632183908045977,3.112523085040894,0.16305767991219966
ensemble (top 5),0.05373630140470061,121,420,165,16,0.25069252077562326,0.7493074792243768,0.8832116788321168,0.717948717948718,0.4230769230769231,0.963302752293578,3.1313868613138687,0.16266944734098016
ensemble (top 5),0.055515452142787504,121,421,164,16,0.24930747922437674,0.7506925207756232,0.8832116788321168,0.7196581196581197,0.4245614035087719,0.9633867276887872,3.1504806836389534,0.1622830591050158
ensemble (top 5),0.056350804208050276,121,422,163,16,0.24792243767313019,0.7520775623268698,0.8832116788321168,0.7213675213675214,0.426056338028169,0.9634703196347032,3.1698087859925663,0.16189850209291862
