rank,model,status,seconds,auroc,auprc,brier_score,accuracy,sensitivity,specificity,ppv,npv,f1,threshold,tp,tn,fp,fn,se,z_vs_baseline,p_one_tailed
50,lightgbm_n500_leaves255_lr0.1,ok,1.76,0.8845218042298335,0.6444695463850806,0.1206619307958459,0.8601108033240997,0.4963503649635036,0.9452991452991452,0.68,0.8890675241157556,0.5738396624472574,0.5,68.0,553.0,32.0,69.0,0.019197950789742974,2.505522932411101,0.006113523456017567
51,lightgbm_n500_leaves63_lr0.1,ok,1.79,0.8845218042298335,0.6444695463850806,0.1206619307958459,0.8601108033240997,0.4963503649635036,0.9452991452991452,0.68,0.8890675241157556,0.5738396624472574,0.5,68.0,553.0,32.0,69.0,0.019197950789742974,2.505522932411101,0.006113523456017567
52,lightgbm_n500_leaves127_lr0.1,ok,1.81,0.8845218042298335,0.6444695463850806,0.1206619307958459,0.8601108033240997,0.4963503649635036,0.9452991452991452,0.68,0.8890675241157556,0.5738396624472574,0.5,68.0,553.0,32.0,69.0,0.019197950789742974,2.505522932411101,0.006113523456017567
53,catboost_n200_d8_lr0.2,ok,14.75,0.8845155655374634,0.6454266212814423,0.1123345655728411,0.8545706371191135,0.3722627737226277,0.9675213675213676,0.7285714285714285,0.8680981595092024,0.4927536231884058,0.5,51.0,566.0,19.0,86.0,0.01919839024131085,2.505293830858296,0.0061174852274878955
54,xgboost_n300_d3_lr0.1,ok,1.45,0.8844843720756129,0.6412988791765369,0.1108920315278495,0.8587257617728532,0.4890510948905109,0.9452991452991452,0.6767676767676768,0.8876404494382022,0.5677966101694916,0.5,67.0,553.0,32.0,70.0,0.01920058721529816,2.504148396495285,0.006137326952154409
55,catboost_n500_d5_lr0.01,ok,7.21,0.8844656559985027,0.6694114416245535,0.1000914586409009,0.8573407202216067,0.3941605839416058,0.9658119658119658,0.7297297297297297,0.8719135802469136,0.5118483412322274,0.5,54.0,565.0,20.0,83.0,0.01920190517265431,2.5034611945861296,0.00614925831530766
56,xgboost_n200_d3_lr0.1,ok,1.07,0.8844469399213926,0.646191911867116,0.1058437436650525,0.8628808864265928,0.4963503649635036,0.9487179487179488,0.6938775510204082,0.8894230769230769,0.5787234042553191,0.5,68.0,555.0,30.0,69.0,0.0192032229597748,2.502774036697333,0.006161209456378436
57,catboost_n300_d8_lr0.2,ok,21.33,0.8844282238442822,0.6471736797402072,0.1133163210209819,0.8573407202216067,0.3722627737226277,0.9709401709401708,0.75,0.8685015290519877,0.4975609756097561,0.5,51.0,568.0,17.0,86.0,0.01920454057669369,2.5020869228197737,0.0061731804012898905
58,catboost_n800_d8_lr0.2,ok,55.55,0.8843595982282114,0.6467742357800099,0.1138172844820361,0.8573407202216067,0.3868613138686131,0.9675213675213676,0.7361111111111112,0.8707692307692307,0.507177033492823,0.5,53.0,566.0,19.0,84.0,0.019209370383108763,2.499567881662293,0.006217243718328436
59,lightgbm_n800_leaves31_lr0.05,ok,3.08,0.8843595982282114,0.6429182106626794,0.1205976849675723,0.8573407202216067,0.4890510948905109,0.9435897435897436,0.67,0.887459807073955,0.5654008438818565,0.5,67.0,552.0,33.0,70.0,0.019209370383108763,2.499567881662293,0.006217243718328436
60,histgbdt_n300_lr0.1,ok,4.59,0.8842972113045106,0.6480437969509649,0.1201414692361913,0.8587257617728532,0.4817518248175182,0.947008547008547,0.6804123711340206,0.8864,0.5641025641025641,0.5,66.0,554.0,31.0,71.0,0.019213759132331518,2.497278357227271,0.006257533705247842
61,catboost_n800_d5_lr0.01,ok,10.91,0.8842847339197705,0.6732162453208097,0.0993909159431719,0.8614958448753463,0.437956204379562,0.9606837606837608,0.7228915662650602,0.8794992175273866,0.5454545454545454,0.5,60.0,562.0,23.0,77.0,0.019214636655562212,2.4968205109356707,0.0062656183543768895
62,catboost_n300_d5_lr0.01,ok,4.47,0.8842784952274003,0.6685065284136443,0.1024713500667497,0.8573407202216067,0.3430656934306569,0.9777777777777776,0.7833333333333333,0.8640483383685801,0.4771573604060913,0.5,47.0,572.0,13.0,90.0,0.01921507538885899,2.4965915951121036,0.006269664016692267
63,lightgbm_n100_leaves15_lr0.05,ok,0.53,0.8842098696113294,0.6813985751860787,0.0992871245301668,0.8628808864265928,0.4671532846715328,0.9555555555555556,0.7111111111111111,0.884493670886076,0.5638766519823789,0.5,64.0,559.0,26.0,73.0,0.019219900209492283,2.4940738431276834,0.0063143134613895535
64,lightgbm_n500_leaves31_lr0.05,ok,2.82,0.8841724374571089,0.650755184554892,0.1204402447917496,0.8587257617728532,0.4890510948905109,0.9452991452991452,0.6767676767676768,0.8876404494382022,0.5677966101694916,0.5,67.0,553.0,32.0,70.0,0.019222530967687806,2.4927007726365145,0.006338781714564035
65,lightgbm_n100_leaves15_lr0.1,ok,0.56,0.884166198764739,0.6474638784851758,0.1090147536960571,0.8587257617728532,0.4525547445255474,0.953846153846154,0.6966292134831461,0.8815165876777251,0.5486725663716814,0.5,62.0,558.0,27.0,75.0,0.019222969361383447,2.492471944620259,0.006342867601403235
66,histgbdt_n300_lr0.2,ok,2.5,0.8841287666105184,0.6414852650564374,0.1250347829635947,0.853185595567867,0.4817518248175182,0.9401709401709402,0.6534653465346535,0.8856682769726248,0.5546218487394958,0.5,66.0,550.0,35.0,71.0,0.019225599327649532,2.491099078885715,0.006367430078783376
