name,auroc_mean,auroc_std,auprc_mean,f1_mean,accuracy_mean,fit_seconds,status
"ExtraTrees(n=50,depth=None,criterion=gini)",0.8211,0.0271,0.9513,0.9241,0.8642,0.93,ok
"GradBoost(n=200,lr=0.1,depth=4)",0.821,0.0215,0.9535,0.9272,0.8728,13.7,ok
"AdaBoost(n=50,lr=0.1)",0.8204,0.0163,0.9556,0.9202,0.8549,1.51,ok
"LightGBM(n=50,depth=-1,lr=0.01)",0.8194,0.0321,0.9554,0.9141,0.8417,0.39,ok
"GradBoost(n=50,lr=0.05,depth=2)",0.8193,0.0208,0.9534,0.9244,0.865,1.81,ok
"SGDClassifier(loss=hinge,alpha=0.1)",0.8192,0.0206,0.9514,0.9215,0.8596,0.14,ok
"LightGBM(n=50,depth=7,lr=0.01)",0.8186,0.0291,0.955,0.9141,0.8417,0.32,ok
RidgeClassifier(alpha=1),0.8183,0.013,0.9501,0.9183,0.8549,0.11,ok
"GradBoost(n=200,lr=0.01,depth=2)",0.8183,0.0236,0.9525,0.9253,0.8658,7.18,ok
"SGDClassifier(loss=modified_huber,alpha=0.1)",0.8176,0.0246,0.9522,0.9201,0.8588,0.15,ok
RidgeClassifier(alpha=0.1),0.8162,0.0125,0.9495,0.9179,0.8541,0.12,ok
"LogisticRegression(C=1,solver=liblinear)",0.8161,0.0206,0.9518,0.9184,0.8572,0.17,ok
RidgeClassifier(alpha=0.01),0.8158,0.0125,0.9494,0.9179,0.8541,0.12,ok
"GradBoost(n=100,lr=0.01,depth=3)",0.8155,0.0223,0.9489,0.9265,0.8673,5.37,ok
"LogisticRegression(C=1,solver=lbfgs)",0.8154,0.021,0.9516,0.9184,0.8572,0.2,ok
"SVC(kernel=rbf,C=10)",0.8151,0.024,0.9564,0.9149,0.8518,1.05,ok
"LightGBM(n=50,depth=3,lr=0.01)",0.8128,0.0345,0.9473,0.9141,0.8417,0.22,ok
"SVC(kernel=linear,C=0.1)",0.8117,0.02,0.9486,0.9204,0.8588,0.63,ok
"SGDClassifier(loss=hinge,alpha=0.01)",0.8114,0.0232,0.9483,0.9193,0.8572,0.15,ok
"GradBoost(n=100,lr=0.01,depth=4)",0.8104,0.0155,0.9461,0.9275,0.8697,7.37,ok
"LightGBM(n=50,depth=5,lr=0.01)",0.8074,0.0337,0.946,0.9141,0.8417,0.27,ok
"LogisticRegression(C=10,solver=liblinear)",0.8065,0.0209,0.9492,0.9192,0.8588,0.2,ok
"LogisticRegression(C=10,solver=lbfgs)",0.8064,0.0205,0.9491,0.9196,0.8596,0.16,ok
"XGBoost(n=50,depth=5,lr=0.01)",0.8058,0.0393,0.9461,0.9141,0.8417,0.66,ok
"XGBoost(n=50,depth=4,lr=0.01)",0.8047,0.032,0.9449,0.9141,0.8417,0.47,ok
GaussianNB,0.8042,0.0207,0.9502,0.896,0.8246,0.1,ok
"XGBoost(n=50,depth=3,lr=0.01)",0.8039,0.0314,0.9439,0.9141,0.8417,0.44,ok
"LogisticRegression(C=100,solver=liblinear)",0.8038,0.021,0.9486,0.9197,0.8596,0.25,ok
