n,rep,sens,spec,dor,fp,n_neg,lrp,lrp_lo,lrp_hi,lrp_ratio,degenerate
300,21,0.2765957446808511,0.9920948616600791,47.98529411764734,2,253,34.989361702127866,14.724363424197453,78.02953263294245,5.299348459758316,True
300,22,0.1276595744680851,0.9960474308300395,36.87804878048801,1,253,32.29787234042571,11.418984254601549,85.7321760520951,7.507863584061542,True
300,23,0.19148936170212766,0.9960474308300395,59.68421052631613,1,253,48.446808510638576,14.762035108234228,149.21332410240973,10.107910122716,True
300,24,0.23404255319148937,0.9920948616600791,38.34722222222245,2,253,29.606382978723577,13.125546535207356,62.672468884807046,4.774846420047907,True
300,25,0.2127659574468085,0.9960474308300395,68.1081081081085,1,253,53.82978723404286,15.832537431637927,171.75852306938563,10.848452044469076,True
300,26,0.19148936170212766,0.9960474308300395,59.68421052631613,1,253,48.446808510638576,14.762035108234228,149.21332410240973,10.107910122716,True
300,27,0.3404255319148936,0.9960474308300395,130.06451612903302,1,253,86.12765957446858,21.922114108200528,317.5604083907677,14.485847798409921,True
300,28,0.2553191489361702,0.9960474308300395,86.40000000000047,1,253,64.59574468085142,17.920971430975893,218.50921915080386,12.192933848056743,True
300,29,0.19148936170212766,0.9960474308300395,59.68421052631613,1,253,48.446808510638576,14.762035108234228,149.21332410240973,10.107910122716,True
300,30,0.2553191489361702,0.9960474308300395,86.40000000000047,1,253,64.59574468085142,17.920971430975893,218.50921915080386,12.192933848056743,True
300,31,0.23404255319148937,0.9960474308300395,77.00000000000045,1,253,59.212765957447154,16.884990264834986,194.87376514207415,11.541242374768915,True
300,32,0.1702127659574468,0.9960474308300395,51.69230769230799,1,253,43.06382978723429,13.67148055577706,127.30141919500186,9.311458161070126,True
300,33,0.1276595744680851,0.9960474308300395,36.87804878048801,1,253,32.29787234042571,11.418984254601549,85.7321760520951,7.507863584061542,True
300,34,0.19148936170212766,0.9960474308300395,59.68421052631613,1,253,48.446808510638576,14.762035108234228,149.21332410240973,10.107910122716,True
300,35,0.2127659574468085,0.9960474308300395,68.1081081081085,1,253,53.82978723404286,15.832537431637927,171.75852306938563,10.848452044469076,True
300,36,0.23404255319148937,0.9960474308300395,77.00000000000045,1,253,59.212765957447154,16.884990264834986,194.87376514207415,11.541242374768915,True
300,37,0.2127659574468085,0.9960474308300395,68.1081081081085,1,253,53.82978723404286,15.832537431637927,171.75852306938563,10.848452044469076,True
300,38,0.9787234042553191,0.31225296442687744,20.885057471264336,174,253,1.4230863291758375,1.343207081091442,1.4149562591406177,1.0534163190912267,True
300,39,0.1702127659574468,0.9960474308300395,51.69230769230799,1,253,43.06382978723429,13.67148055577706,127.30141919500186,9.311458161070126,True
300,40,0.14893617021276595,0.9960474308300395,44.10000000000026,1,253,37.680851063830005,12.558279869065627,106.10472965129098,8.448985908703552,True
300,41,0.9787234042553191,0.40711462450592883,31.58666666666662,150,253,1.6507801418439716,1.5289111099131452,1.6727064410130428,1.0940508118278154,True
300,42,0.1702127659574468,0.9960474308300395,51.69230769230799,1,253,43.06382978723429,13.67148055577706,127.30141919500186,9.311458161070126,True
300,43,0.10638297872340426,0.9960474308300395,30.000000000000174,1,253,26.91489361702143,10.248848262370139,66.3336302793016,6.472300943595134,True
300,44,0.9787234042553191,0.549407114624506,56.087719298245545,114,253,2.172079134005226,1.9450610843184715,2.276363096259588,1.1703298752991098,False
